number,value,state,params_batch_size,params_gradient_clip_norm,params_pred_len,params_seq_len,user_attrs_composite_score,user_attrs_coverage_80,user_attrs_interval_width_80,user_attrs_max_drawdown,user_attrs_pinball_p50,user_attrs_sortino,user_attrs_var_95
2,0.7504224704550946,COMPLETE,32,0.5,20,96,0.7504224704550946,0.6258090614886731,0.08522771969675401,-0.7756095569792212,0.0194542756811905,1.0235118473469351,0.051953531430181644
12,0.3032474458157265,COMPLETE,32,0.5,4,48,0.3032474458157265,0.6035825545171339,0.08580944502986154,-0.8453821957952226,0.020518944321436267,0.4976020723939164,0.05748482473239675
14,0.3032474458157265,COMPLETE,32,0.5,4,48,0.3032474458157265,0.6035825545171339,0.08580484090672291,-0.8453821957952226,0.020518420251708733,0.4976020723939164,0.057478026331743426
15,0.3032474458157265,COMPLETE,32,0.5,4,48,0.3032474458157265,0.6035825545171339,0.08581025458201443,-0.8453821957952226,0.020517632934983668,0.4976020723939164,0.0574822135945841
9,0.1606129175696828,COMPLETE,32,0.5,6,96,0.1606129175696828,0.7391757955138236,0.0836127330780634,-0.8560642521190764,0.014744037751665766,0.2556233136707827,0.05310048334956715
17,0.08577416579548244,COMPLETE,32,0.5,4,96,0.1715483315909649,0.7132009345794392,0.08804561968965537,-0.7455208808956482,0.016934712811898234,0.2656078384159236,0.0849829313180358
1,-0.7926822533312585,COMPLETE,64,0.5,10,128,-0.4926822533312586,0.7795418641390205,0.08546888141792759,-0.7174867177260076,0.0138778525709893,-0.7678978777829923,0.0671918192351229
16,-0.982655280107539,COMPLETE,32,0.5,8,48,-1.365310560215078,0.5981721698113207,0.08591969707590373,-0.945354818702592,0.020060162242377933,-1.927071061808662,0.09818832107775669
3,-1.0,COMPLETE,32,0.3,4,96,,,,,,,
5,-1.0,COMPLETE,32,0.5,20,96,,,,,,,
13,-1.1467176848522342,COMPLETE,64,0.3,6,96,-0.8467176848522342,0.7450443401147627,0.08422413201199754,-0.8796688429468449,0.014812565771541367,-1.2661985489475809,0.05844957373524375
0,-1.3370685192881036,COMPLETE,32,0.3,10,64,-1.0370685192881035,0.765086887835703,0.08481281016939134,-0.9243186549329928,0.014519536314212801,-1.590082532618115,0.06326532521524088
11,-1.4968394738085236,COMPLETE,64,0.5,20,128,-1.1968394738085235,0.6816747572815535,0.0824528909058371,-0.9666594637842746,0.016562005027543833,-1.4760833405446223,0.07362889452428127
10,-1.5108701746189854,COMPLETE,32,0.5,8,64,-1.2108701746189854,0.7839033018867925,0.08689003218746993,-0.974216420946842,0.013988857401095468,-1.8580484748412447,0.068720116478544
